Temperature,Humidity,Wind Speed,General Diffuse Flows,Diffuse Flows,Power Consumption
21.25,68.08,0.083,0.069,0.122,High
18.7,73.1,4.916,0.069,0.122,High
21.75,82.9,4.916,0.069,0.122,High
25.06,54.63,4.917,0.069,0.122,High
20.34,81.8,4.918,0.069,0.122,High
22.37,87.8,4.918,0.069,0.122,High
23.35,56.92,4.919,0.069,0.122,High
19.01,84.3,4.92,0.069,0.122,High
19.36,84.3,4.921,0.069,0.122,High
24.51,80.9,4.922,0.069,0.122,High
25.41,85.4,4.922,0.069,0.122,High
22.44,73.6,4.923,0.069,0.122,High
22.01,69.29,4.932,0.069,0.122,High
15.18,72.6,0.068,0.07,0.122,High
15.12,85.7,0.069,0.07,0.122,High
13.72,72.8,0.073,0.07,0.122,High
12.16,84.3,0.073,0.07,0.122,High
11.79,69.39,0.075,0.07,0.122,High
13.4,59.85,0.076,0.07,0.122,High
13.09,75.6,0.077,0.07,0.122,High
13.28,76.3,0.079,0.07,0.122,High
8.84,51.22,0.082,0.07,0.122,High
13.5,83.3,0.082,0.07,0.122,High
9.96,76.9,0.083,0.07,0.122,High
13.83,47.86,0.084,0.07,0.122,High
16.58,58.04,0.084,0.07,0.122,High
10.57,75.9,0.085,0.07,0.122,High
12.53,78,0.085,0.07,0.122,High
10,82.7,0.085,0.07,0.122,High
18.25,61.29,0.089,0.07,0.122,High
21.07,87.5,0.066,0.073,0.122,High
19.66,73.4,0.069,0.073,0.122,High
21.05,74.6,0.071,0.073,0.122,High
15.02,76.2,0.071,0.073,0.122,High
15.24,74.8,0.072,0.073,0.122,High
15.3,74.4,0.073,0.073,0.122,High
18.45,90.7,0.075,0.073,0.122,High
18.94,52.9,0.081,0.073,0.122,High
15.47,62.75,0.081,0.073,0.122,High
14.94,62.52,0.082,0.073,0.122,High
18.1,92.1,0.084,0.073,0.122,High
12.73,56.94,0.085,0.073,0.122,High
15.24,47.48,0.088,0.073,0.122,High
21.33,75.2,4.911,0.073,0.122,High
22.85,70.3,4.917,0.073,0.122,High
21.82,85.1,4.917,0.073,0.122,High
22.35,75.9,4.918,0.073,0.122,High
18.15,72.1,4.919,0.073,0.122,High
22.99,78.2,4.919,0.073,0.122,High
19.19,83.6,4.919,0.073,0.122,High
21.15,79.8,4.921,0.073,0.122,High
25.55,84.9,4.922,0.073,0.122,High
24.79,88.9,4.922,0.073,0.122,High
22.57,66.98,0.07,0.077,0.122,High
20.23,84.2,0.07,0.077,0.122,High
13.51,82.3,0.072,0.077,0.122,High
18.41,91.6,0.076,0.077,0.122,High
8.76,51.65,0.078,0.077,0.122,High
13.11,60.85,0.078,0.077,0.122,High
15.11,57.16,0.082,0.077,0.122,High
12.15,77.7,0.086,0.077,0.122,High
13.8,70.4,0.088,0.077,0.122,High
25.75,50.52,4.905,0.077,0.122,High
23.63,63.82,4.905,0.077,0.122,High
26.77,85.2,4.907,0.077,0.122,High
26.08,84.4,4.91,0.077,0.122,High
26.58,32.98,4.915,0.077,0.122,High
24.88,88.6,4.916,0.077,0.122,High
13.55,50.14,4.917,0.077,0.122,High
13.4,52.54,4.917,0.077,0.122,High
30.47,32.24,4.923,0.077,0.122,High
24.61,83.3,4.923,0.077,0.122,High
24.38,82.7,4.925,0.077,0.122,High
19.68,83.9,0.073,0.08,0.122,High
23.49,83.1,0.269,0.08,0.122,High
21.56,54.12,0.293,0.08,0.122,High
21.6,53.85,0.302,0.08,0.122,High
23.52,72,4.905,0.08,0.122,High
21.1,60.03,4.908,0.08,0.122,High
24.93,82.1,4.909,0.08,0.122,High
26.19,84.3,4.911,0.08,0.122,High
24.69,39.52,4.914,0.08,0.122,High
23.92,86.6,4.916,0.08,0.122,High
21.74,63.18,4.917,0.08,0.122,High
23.6,45.58,4.918,0.08,0.122,High
21.27,77.1,4.918,0.08,0.122,High
22.36,72.4,4.919,0.08,0.122,High
23.98,84.5,4.92,0.08,0.122,High
30.88,35.18,4.921,0.08,0.122,High
25.06,84.6,4.921,0.08,0.122,High
22.57,72.9,4.922,0.08,0.122,High
24.3,81.6,4.922,0.08,0.122,High
25.2,87.3,4.923,0.08,0.122,High
24.38,82.7,4.925,0.08,0.122,High
13.36,83.4,0.07,0.081,0.122,High
13.5,61.47,4.919,0.081,0.122,High
12.44,70.3,4.926,0.081,0.122,High
10.44,82.9,0.074,0.084,0.122,High
13.39,58.44,0.078,0.084,0.122,High
15.77,66.72,0.088,0.084,0.122,High
11.93,54.72,0.09,0.084,0.122,High
21.4,61.45,0.271,0.084,0.122,High
22.63,53.59,4.904,0.084,0.122,High
27.3,61.69,4.906,0.084,0.122,High
26.31,47.08,4.907,0.084,0.122,High
23.49,70.5,4.907,0.084,0.122,High
25.16,84.7,4.907,0.084,0.122,High
24.34,65.19,4.91,0.084,0.122,High
24.74,70.4,4.911,0.084,0.122,High
22.58,70.1,4.912,0.084,0.122,High
13.4,62.74,4.916,0.084,0.122,High
24.3,85.5,4.917,0.084,0.122,High
25.65,84.2,4.918,0.084,0.122,High
24.39,89,4.919,0.084,0.122,High
21.59,54.18,4.92,0.084,0.122,High
24.08,62.39,4.92,0.084,0.122,High
25.12,87.8,4.922,0.084,0.122,High
21.6,54.52,4.924,0.084,0.122,High
16.07,86.6,0.074,0.088,0.122,High
22.96,82.8,0.282,0.088,0.122,High
22.97,66.96,4.904,0.088,0.122,High
21.81,61.09,4.905,0.088,0.122,High
24.84,69.99,4.905,0.088,0.122,High
25.47,46.35,4.908,0.088,0.122,High
26.43,84.8,4.908,0.088,0.122,High
24.7,59.62,4.909,0.088,0.122,High
26.16,84.4,4.911,0.088,0.122,High
18.84,76.7,4.915,0.088,0.122,High
29.11,26.48,4.916,0.088,0.122,High
25.61,78.6,4.916,0.088,0.122,High
20.29,86.6,4.919,0.088,0.122,High
25.32,85.5,4.921,0.088,0.122,High
13.58,80.6,0.073,0.091,0.122,High
10.8,61.6,0.084,0.091,0.122,High
24.86,48.15,4.907,0.091,0.122,High
22.33,74.5,4.907,0.091,0.122,High
23.71,56.06,4.91,0.091,0.122,High
25.55,81.1,4.91,0.091,0.122,High
25.47,80.3,4.912,0.091,0.122,High
23.92,56.23,4.913,0.091,0.122,High
20.85,76.9,4.914,0.091,0.122,High
21.4,83.4,4.915,0.091,0.122,High
25.39,81,4.916,0.091,0.122,High
29.8,38.32,4.925,0.091,0.122,High
23.11,84.4,0.055,0.095,0.122,High
20.59,85,0.066,0.095,0.122,High
9.96,85,0.085,0.095,0.122,High
20.83,61.62,0.23,0.095,0.122,High
26.64,59.62,4.903,0.095,0.122,High
24.81,54.55,4.904,0.095,0.122,High
20.45,86.5,4.917,0.095,0.122,High
28.88,32.55,4.92,0.095,0.122,High
22.41,66.59,4.921,0.095,0.122,High
24.82,88.9,4.923,0.095,0.122,High
24.67,82.3,0.056,0.099,0.122,High
24.24,40.45,4.909,0.099,0.122,High
28.04,29.68,4.915,0.099,0.122,High
23.78,65.02,4.925,0.099,0.122,High
15.29,76.9,0.074,0.102,0.122,High
12.58,78.3,0.08,0.102,0.122,High
20.36,54.1,0.081,0.102,0.122,High
24.04,62.12,4.902,0.102,0.122,High
22.83,75,4.906,0.102,0.122,High
31.46,38.51,4.908,0.102,0.122,High
20.62,58.39,4.912,0.102,0.122,High
22.34,72.1,4.92,0.102,0.122,High
25.26,85,4.93,0.102,0.122,High
21.51,53.11,0.077,0.106,0.122,High
25.64,54.35,0.082,0.106,0.122,High
19.67,59.52,4.902,0.106,0.122,High
26.04,78,4.906,0.106,0.122,High
25.06,78.7,4.906,0.106,0.122,High
23.9,59.52,4.908,0.106,0.122,High
28.61,36.18,4.911,0.106,0.122,High
24.78,84.6,4.918,0.106,0.122,High
26.67,47.15,4.912,0.11,0.122,High
25.65,77.3,4.913,0.11,0.122,High
31.69,35.85,4.915,0.11,0.122,High
27.3,79.3,4.907,0.113,0.122,High
14.37,89.7,0.071,0.117,0.122,High
26.61,85.9,4.912,0.121,0.122,High
28.68,31.84,4.923,0.121,0.122,High
11.52,63.64,0.083,0.146,0.122,High
18.81,80.1,0.074,0.15,0.122,High
23.57,57.41,0.078,0.161,0.122,High
24.2,60.89,4.902,0.164,0.122,High
21.02,80.4,0.068,0.187,0.122,High
19.91,63.33,4.916,0.19,0.122,High
17.54,61.53,0.079,0.011,0.126,High
16.41,81.6,0.07,0.015,0.126,High
16.71,71.4,0.083,0.015,0.126,High
17.34,74.5,0.072,0.018,0.126,High
16.23,76.7,0.08,0.018,0.126,High
17.97,70.8,4.911,0.018,0.126,High
14.9,87.6,0.072,0.022,0.126,High
13.99,87.6,4.92,0.022,0.126,High
16.27,84,0.069,0.026,0.126,High
16.14,77.1,0.079,0.026,0.126,High
19.78,82.8,0.083,0.026,0.126,High
15.9,79.9,4.912,0.026,0.126,High
14.23,84.8,4.913,0.026,0.126,High
18.25,70.5,4.915,0.026,0.126,High
15.3,82.2,4.916,0.026,0.126,High
15.47,89.1,0.067,0.029,0.126,High
15,87.1,0.07,0.029,0.126,High
10.26,89.1,0.073,0.029,0.126,High
16.79,68.6,0.078,0.029,0.126,High
9.54,85.8,0.079,0.029,0.126,High
15.28,66.12,0.082,0.029,0.126,High
16.84,71.2,0.082,0.029,0.126,High
13.63,84,0.085,0.029,0.126,High
20.37,86.8,0.065,0.033,0.126,High
20.3,89.1,0.065,0.033,0.126,High
20.25,86.5,0.068,0.033,0.126,High
15.15,86.9,0.074,0.033,0.126,High
15.18,83.2,0.075,0.033,0.126,High
13.92,64.3,0.076,0.033,0.126,High
16.4,73.6,0.081,0.033,0.126,High
16.08,53.62,0.083,0.033,0.126,High
14.81,64.02,0.083,0.033,0.126,High
13.96,70.3,0.084,0.033,0.126,High
13.13,77.7,0.087,0.033,0.126,High
16.75,74.6,4.911,0.033,0.126,High
17.05,70.9,4.915,0.033,0.126,High
18.72,85,4.916,0.033,0.126,High
16.66,67.21,4.919,0.033,0.126,High
15.69,85.3,0.069,0.037,0.126,High
14.91,87.7,0.069,0.037,0.126,High
15.98,87.7,0.07,0.037,0.126,High
10.3,83.4,0.074,0.037,0.126,High
16.77,65.37,0.078,0.037,0.126,High
10.96,83.7,0.08,0.037,0.126,High
18.92,58.49,0.082,0.037,0.126,High
12.49,67.62,0.084,0.037,0.126,High
11.9,83.2,0.084,0.037,0.126,High
10.02,48.85,0.086,0.037,0.126,High
16.54,72.1,0.086,0.037,0.126,High
13.7,80.8,0.086,0.037,0.126,High
12,86.3,0.086,0.037,0.126,High
17.59,84.2,4.917,0.037,0.126,High
13.22,54.61,4.918,0.037,0.126,High
10.33,56.06,4.921,0.037,0.126,High
20.62,81,4.922,0.037,0.126,High
19.54,83.8,4.922,0.037,0.126,High
16.03,87.2,0.066,0.04,0.126,High
19.43,74.5,0.067,0.04,0.126,High
16.05,73,0.073,0.04,0.126,High
16.1,73,0.073,0.04,0.126,High
12.24,86.3,0.076,0.04,0.126,High
16.28,81.1,0.077,0.04,0.126,High
13.24,77.2,0.078,0.04,0.126,High
10.55,82.7,0.078,0.04,0.126,High
20.73,80.9,0.079,0.04,0.126,High
19.96,73.4,0.08,0.04,0.126,High
15.39,63.49,0.081,0.04,0.126,High
14.41,68.83,0.081,0.04,0.126,High
16.17,51.82,0.083,0.04,0.126,High
16.77,49.83,0.084,0.04,0.126,High
13.64,66.06,0.085,0.04,0.126,High
13.94,70.1,0.085,0.04,0.126,High
14.55,68.02,0.088,0.04,0.126,High
16.96,80.3,4.909,0.04,0.126,High
13.24,70.8,4.913,0.04,0.126,High
25.83,84.3,4.916,0.04,0.126,High
25.64,80.8,4.918,0.04,0.126,High
20.57,82.2,4.919,0.04,0.126,High
19.7,84.8,0.065,0.044,0.126,High
19.88,66.33,0.072,0.044,0.126,High
13,85.5,0.073,0.044,0.126,High
12.79,74.8,0.075,0.044,0.126,High
12.94,77.6,0.076,0.044,0.126,High
17.34,72.5,0.08,0.044,0.126,High
18.89,62.09,0.081,0.044,0.126,High
15.17,75.4,0.081,0.044,0.126,High
13.44,71.9,0.082,0.044,0.126,High
15.21,63.72,0.083,0.044,0.126,High
14.78,81,0.083,0.044,0.126,High
13.81,69.31,0.084,0.044,0.126,High
11.11,65.19,0.085,0.044,0.126,High
14.05,82.3,0.085,0.044,0.126,High
10.92,61.93,0.089,0.044,0.126,High
10.99,66.15,0.089,0.044,0.126,High
10.13,69.55,0.09,0.044,0.126,High
22.31,56.53,0.107,0.044,0.126,High
20.12,71,4.914,0.044,0.126,High
22.42,85.3,4.914,0.044,0.126,High
18.73,80.9,4.917,0.044,0.126,High
22.44,84.8,4.918,0.044,0.126,High
17.57,69.1,4.924,0.044,0.126,High
19.73,73.2,0.071,0.048,0.126,High
15.36,83.5,0.071,0.048,0.126,High
20.3,60.35,0.072,0.048,0.126,High
18.09,80.6,0.072,0.048,0.126,High
20.12,87.5,0.072,0.048,0.126,High
13.65,83.3,0.073,0.048,0.126,High
12.81,82.2,0.074,0.048,0.126,High
13.39,59.08,0.079,0.048,0.126,High
18.01,75.4,0.079,0.048,0.126,High
17.71,78.1,0.082,0.048,0.126,High
14.44,78.6,0.082,0.048,0.126,High
18.48,63.5,0.083,0.048,0.126,High
19.45,79.5,0.086,0.048,0.126,High
19.35,88.5,4.916,0.048,0.126,High
13.61,64.44,4.917,0.048,0.126,High
20.43,83.2,4.917,0.048,0.126,High
17.03,86.2,4.917,0.048,0.126,High
13.93,52.84,4.92,0.048,0.126,High
13.16,55.21,4.921,0.048,0.126,High
21.08,81.8,0.064,0.051,0.126,High
20.33,85.8,0.065,0.051,0.126,High
20.67,83.5,0.067,0.051,0.126,High
20.1,85.9,0.068,0.051,0.126,High
20.89,87.8,0.068,0.051,0.126,High
19.58,75.6,0.069,0.051,0.126,High
19.02,86.6,0.069,0.051,0.126,High
19.73,84.7,0.07,0.051,0.126,High
18.15,87.1,0.07,0.051,0.126,High
14.49,84.6,0.073,0.051,0.126,High
11.17,80.7,0.074,0.051,0.126,High
13.6,75.5,0.075,0.051,0.126,High
11.23,74,0.076,0.051,0.126,High
13.48,51.64,0.078,0.051,0.126,High
18.93,59.18,0.078,0.051,0.126,High
13.41,60.01,0.078,0.051,0.126,High
19.48,70.1,0.08,0.051,0.126,High
15.92,77.4,0.08,0.051,0.126,High
15.19,83,0.08,0.051,0.126,High
19.26,63.85,0.081,0.051,0.126,High
16.66,67.83,0.081,0.051,0.126,High
13.65,47.83,0.082,0.051,0.126,High
13.6,66.66,0.082,0.051,0.126,High
17.69,66.9,0.082,0.051,0.126,High
19.8,68.01,0.082,0.051,0.126,High
15.64,52.8,0.083,0.051,0.126,High
15.99,56.94,0.083,0.051,0.126,High
16.96,64.1,0.083,0.051,0.126,High
13.19,66.46,0.083,0.051,0.126,High
9.89,77.6,0.083,0.051,0.126,High
12.98,65.55,0.084,0.051,0.126,High
13.41,51.3,0.087,0.051,0.126,High
12.99,65.52,0.087,0.051,0.126,High
12.39,77,0.088,0.051,0.126,High
25.64,87.3,4.906,0.051,0.126,High
28.58,44.01,4.91,0.051,0.126,High
23.13,89.4,4.915,0.051,0.126,High
20.4,67.95,4.917,0.051,0.126,High
20.31,59.16,4.918,0.051,0.126,High
16.94,76.4,4.918,0.051,0.126,High
22.43,85.2,4.919,0.051,0.126,High
19.08,75.6,4.92,0.051,0.126,High
13.32,56.78,4.921,0.051,0.126,High
13.27,87.8,4.925,0.051,0.126,High
20.48,85.6,0.065,0.055,0.126,High
20.84,85.7,0.067,0.055,0.126,High
20.4,87.1,0.067,0.055,0.126,High
20.32,83.8,0.068,0.055,0.126,High
18.48,75.5,0.069,0.055,0.126,High
20.12,84.7,0.069,0.055,0.126,High
20.04,72.7,0.07,0.055,0.126,High
20.39,86.1,0.07,0.055,0.126,High
13.52,75.4,0.071,0.055,0.126,High
16.15,71.9,0.073,0.055,0.126,High
13.03,78.9,0.074,0.055,0.126,High
15.04,83.5,0.074,0.055,0.126,High
12.66,75.3,0.076,0.055,0.126,High
15.45,61.45,0.078,0.055,0.126,High
19.76,67.08,0.078,0.055,0.126,High
11.75,70.7,0.079,0.055,0.126,High
15.01,68.19,0.08,0.055,0.126,High
11.76,76.4,0.082,0.055,0.126,High
9.81,85.8,0.082,0.055,0.126,High
13.39,72,0.083,0.055,0.126,High
13.69,73.1,0.083,0.055,0.126,High
10.29,75.7,0.083,0.055,0.126,High
13.63,84.4,0.083,0.055,0.126,High
11.6,89.6,0.085,0.055,0.126,High
8.9,49.95,0.086,0.055,0.126,High
11.76,80.7,0.087,0.055,0.126,High
12.05,85.8,0.087,0.055,0.126,High
10.68,71.4,0.088,0.055,0.126,High
11.19,56.63,0.089,0.055,0.126,High
11.29,63.45,0.089,0.055,0.126,High
22.16,85.8,0.291,0.055,0.126,High
26.26,85.2,4.909,0.055,0.126,High
12.87,72.6,4.914,0.055,0.126,High
19.49,81.4,4.914,0.055,0.126,High
21.53,75.6,4.915,0.055,0.126,High
18.51,75.5,4.916,0.055,0.126,High
24.32,84.7,4.916,0.055,0.126,High
22.77,82.1,4.917,0.055,0.126,High
23.18,68.52,4.918,0.055,0.126,High
18.46,85.7,4.92,0.055,0.126,High
22,76.4,4.921,0.055,0.126,High
17.68,83.7,4.922,0.055,0.126,High
13.49,66.32,4.923,0.055,0.126,High
19.66,68.66,0.185,0.058,0.126,High
22.48,77.2,4.915,0.058,0.126,High
24.09,84.9,4.917,0.058,0.126,High
20.1,89.4,0.065,0.059,0.126,High
21.4,84.9,0.067,0.059,0.126,High
15.66,85.4,0.067,0.059,0.126,High
21.08,87.5,0.068,0.059,0.126,High
19.02,86.8,0.069,0.059,0.126,High
19.89,82.3,0.073,0.059,0.126,High
16.98,69.57,0.074,0.059,0.126,High
12.63,84.3,0.074,0.059,0.126,High
13.81,65.16,0.075,0.059,0.126,High
12.97,75.9,0.076,0.059,0.126,High
20.64,79,0.076,0.059,0.126,High
13.1,77.9,0.077,0.059,0.126,High
19.64,84.8,0.077,0.059,0.126,High
12.78,70.5,0.079,0.059,0.126,High
15.28,65.35,0.08,0.059,0.126,High
14.37,67.96,0.08,0.059,0.126,High
15.9,62.15,0.082,0.059,0.126,High
11.76,59.88,0.084,0.059,0.126,High
11.3,65.02,0.085,0.059,0.126,High
12.37,60.98,0.086,0.059,0.126,High
10.63,72.5,0.086,0.059,0.126,High
11.72,76.6,0.087,0.059,0.126,High
10.43,81.7,0.087,0.059,0.126,High
11.29,63.84,0.088,0.059,0.126,High
10.88,69.48,0.09,0.059,0.126,High
26.04,80.5,4.902,0.059,0.126,High
25.62,82.8,4.903,0.059,0.126,High
25.51,83.3,4.909,0.059,0.126,High
25.57,87.9,4.909,0.059,0.126,High
10.84,82.3,4.911,0.059,0.126,High
14.35,62.85,4.916,0.059,0.126,High
20.29,77.1,4.918,0.059,0.126,High
13.58,63.67,4.919,0.059,0.126,High
17.53,85,4.92,0.059,0.126,High
21.99,83.4,4.921,0.059,0.126,High
18.29,82.5,4.922,0.059,0.126,High
25.84,85.1,4.922,0.059,0.126,High
23.02,82.8,0.054,0.062,0.126,High
20.31,86.4,0.068,0.062,0.126,High
